game_pk,condition,temp,wind,venue,venue_id
716531,Clear,75,"5 mph, In From RF",Busch Stadium,2889
716621,Partly Cloudy,86,"5 mph, Out To LF",Oriole Park at Camden Yards,2
716680,Clear,84,"10 mph, R To L",Truist Park,4705
716809,Clear,79,"7 mph, L To R",Busch Stadium,2889
716901,Partly Cloudy,76,"7 mph, In From LF",PNC Park,31
716958,Partly Cloudy,84,"12 mph, Out To RF",Busch Stadium,2889
717127,Cloudy,83,"6 mph, In From RF",Busch Stadium,2889
717213,Rain,78,"12 mph, Out To RF",Busch Stadium,2889
717268,Roof Closed,78,"0 mph, None",Chase Field,15
717502,Roof Closed,72,"0 mph, None",loanDepot park,4169
717718,Partly Cloudy,78,"14 mph, L To R",Citi Field,3289
717797,Overcast,65,"9 mph, In From LF",Busch Stadium,2889
717879,Roof Closed,74,"0 mph, None",Globe Life Field,5325
717975,Partly Cloudy,85,"3 mph, L To R",Busch Stadium,2889
718059,Partly Cloudy,80,"9 mph, Varies",Great American Ball Park,2602
718124,Partly Cloudy,81,"5 mph, Out To LF",Busch Stadium,2889
718211,Clear,82,"4 mph, None",Fenway Park,3
718288,Overcast,73,"12 mph, R To L",Busch Stadium,2889
716352,Sunny,90,"5 mph, R To L",Kauffman Stadium,7
716433,Cloudy,65,"13 mph, L To R",Comerica Park,2394
716505,Sunny,79,"7 mph, R To L",Kauffman Stadium,7
716811,Clear,83,"5 mph, L To R",Kauffman Stadium,7
717113,Partly Cloudy,87,"6 mph, Out To CF",Citizens Bank Park,2681
717170,Partly Cloudy,93,"8 mph, R To L",Kauffman Stadium,7
717260,Overcast,80,"0 mph, Calm",Progressive Field,5
717332,Sunny,86,"11 mph, L To R",Kauffman Stadium,7
717500,Overcast,79,"9 mph, Out To CF",Target Field,3312
717573,Sunny,87,"8 mph, L To R",Kauffman Stadium,7
717649,Dome,72,"0 mph, None",Tropicana Field,12
717712,Cloudy,66,"6 mph, R To L",Kauffman Stadium,7
717793,Clear,73,"5 mph, Varies",Kauffman Stadium,7
717876,Roof Closed,72,"0 mph, None",loanDepot park,4169
717960,Partly Cloudy,88,"7 mph, Out To LF",Busch Stadium,2889
718039,Cloudy,76,"6 mph, R To L",Kauffman Stadium,7
718111,Cloudy,61,"5 mph, Out To RF",Guaranteed Rate Field,4
718183,Roof Closed,68,"0 mph, None",American Family Field,32
718253,Clear,82,"9 mph, L To R",Kauffman Stadium,7
718314,Clear,72,"3 mph, L To R",Kauffman Stadium,7
718400,Overcast,58,"9 mph, In From LF",Target Field,3312
718466,Partly Cloudy,77,"7 mph, R To L",Angel Stadium,1
718551,Partly Cloudy,51,"21 mph, L To R",Kauffman Stadium,7
718630,Partly Cloudy,73,"9 mph, In From LF",Globe Life Field,5325
718692,Clear,52,"14 mph, L To R",Kauffman Stadium,7
718775,Cloudy,67,"20 mph, R To L",Kauffman Stadium,7
716370,Roof Closed,78,"0 mph, None",Chase Field,15
716436,Roof Closed,58,"0 mph, Calm",T-Mobile Park,680
716530,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716614,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716687,Roof Closed,74,"0 mph, None",Globe Life Field,5325
716763,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716830,Sunny,71,"10 mph, L To R",Comerica Park,2394
716895,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716972,Roof Closed,72,"0 mph, None",loanDepot park,4169
717037,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717126,Sunny,80,"6 mph, Calm",Yankee Stadium,3313
717203,Sunny,77,"9 mph, L To R",Citi Field,3289
717266,Cloudy,70,"2 mph, Out To CF",Yankee Stadium,3313
717341,Partly Cloudy,79,"4 mph, Out To LF",Citi Field,3289
717413,Cloudy,82,"9 mph, Out To LF",Citi Field,3289
717454,Partly Cloudy,67,"8 mph, Varies",Petco Park,2680
717535,Sunny,80,"11 mph, Out To LF",Citi Field,3289
717607,Cloudy,74,"5 mph, Out To LF",Citi Field,3289
717682,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717766,Partly Cloudy,70,"10 mph, Out To RF",Citi Field,3289
717840,Partly Cloudy,80,"11 mph, Out To LF",Truist Park,4705
717929,Partly Cloudy,73,"2 mph, R To L",Citi Field,3289
718011,Cloudy,68,"9 mph, In From CF",Coors Field,19
718082,Partly Cloudy,70,"6 mph, In From LF",Citi Field,3289
718150,Partly Cloudy,78,"5 mph, Out To CF",Citi Field,3289
718225,Clear,76,"7 mph, In From LF",Great American Ball Park,2602
718318,Cloudy,59,"5 mph, Out To CF",Comerica Park,2394
718187,Clear,66,"4 mph, L To R",Fenway Park,3
718284,Partly Cloudy,72,"7 mph, L To R",Citizens Bank Park,2681
718353,Partly Cloudy,59,"6 mph, Out To CF",Fenway Park,3
718435,Partly Cloudy,59,"4 mph, Out To LF",Oriole Park at Camden Yards,2
718505,Cloudy,46,"4 mph, L To R",Fenway Park,3
718594,Dome,72,"0 mph, None",Tropicana Field,12
718702,Cloudy,41,"5 mph, Out To RF",Fenway Park,3
718782,Sunny,38,"12 mph, L To R",Fenway Park,3
716782,Partly Cloudy,79,"12 mph, In From CF",Busch Stadium,2889
716957,Clear,71,"10 mph, L To R",Petco Park,2680
717020,Roof Closed,78,"0 mph, None",Chase Field,15
717093,Sunny,74,"8 mph, L To R",Petco Park,2680
717208,Cloudy,70,"2 mph, Out To LF",PNC Park,31
717258,Clear,75,"6 mph, L To R",Petco Park,2680
717348,Cloudy,75,"4 mph, Out To LF",PNC Park,31
717416,Partly Cloudy,85,"6 mph, Out To LF",PNC Park,31
717452,Roof Closed,74,"0 mph, None",Chase Field,15
717531,Drizzle,73,"11 mph, R To L",PNC Park,31
717603,Cloudy,68,"10 mph, Out To CF",PNC Park,31
717671,Sunny,77,"11 mph, L To R",PNC Park,31
717740,Clear,64,"1 mph, L To R",American Family Field,32
717836,Cloudy,70,"8 mph, Out To CF",PNC Park,31
717898,Partly Cloudy,73,"9 mph, In From CF",PNC Park,31
717978,Partly Cloudy,64,"15 mph, Out To CF",Oracle Park,2395
718065,Partly Cloudy,77,"8 mph, In From CF",PNC Park,31
718142,Sunny,53,"11 mph, L To R",Comerica Park,2394
718231,Cloudy,66,"8 mph, In From CF",PNC Park,31
718307,Partly Cloudy,67,"5 mph, Varies",PNC Park,31
718383,Overcast,60,"3 mph, In From LF",Nationals Park,3309
718474,Partly Cloudy,56,"9 mph, Out To LF",PNC Park,31
718535,Partly Cloudy,72,"4 mph, In From CF",Coors Field,19
718608,Sunny,77,"13 mph, Out To LF",PNC Park,31
718679,Partly Cloudy,53,"7 mph, Out To CF",PNC Park,31
718756,Cloudy,45,"23 mph, Varies",Great American Ball Park,2602
716546,Roof Closed,72,"0 mph, None",loanDepot park,4169
716725,Partly Cloudy,76,"7 mph, L To R",Dodger Stadium,22
716791,Clear,82,"2 mph, Out To LF",Coors Field,19
716876,Partly Cloudy,91,"4 mph, L To R",Truist Park,4705
716970,Partly Cloudy,82,"7 mph, Out To LF",Truist Park,4705
717040,Clear,82,"6 mph, Out To RF",Citi Field,3289
717098,Cloudy,68,"5 mph, In From LF",Wrigley Field,17
717187,Clear,89,"3 mph, Calm",Truist Park,4705
717261,Cloudy,69,"2 mph, Out To LF",Fenway Park,3
717340,Partly Cloudy,85,"7 mph, Out To LF",Truist Park,4705
717414,Partly Cloudy,86,"3 mph, Calm",Truist Park,4705
717460,Dome,72,"0 mph, None",Tropicana Field,12
717536,Sunny,95,"7 mph, R To L",Truist Park,4705
717618,Cloudy,79,"11 mph, R To L",Great American Ball Park,2602
717664,Sunny,78,"4 mph, Out To CF",Citizens Bank Park,2681
717716,Partly Cloudy,84,"5 mph, In From LF",Truist Park,4705
717790,Cloudy,64,"13 mph, R To L",Comerica Park,2394
717850,Clear,86,"3 mph, Calm",Truist Park,4705
717919,Clear,93,"2 mph, Calm",Chase Field,15
717997,Sunny,75,"9 mph, L To R",Truist Park,4705
718074,Cloudy,65,"7 mph, L To R",Truist Park,4705
718165,Roof Closed,74,"0 mph, None",Globe Life Field,5325
718245,Cloudy,77,"10 mph, R To L",Truist Park,4705
718361,Partly Cloudy,62,"7 mph, Out To CF",Citi Field,3289
718429,Cloudy,69,"6 mph, L To R",Truist Park,4705
718507,Partly Cloudy,64,"11 mph, L To R",Petco Park,2680
718579,Partly Cloudy,77,"12 mph, R To L",Kauffman Stadium,7
718659,Cloudy,44,"12 mph, L To R",Truist Park,4705
718727,Clear,77,"15 mph, R To L",Busch Stadium,2889
716616,Roof Closed,68,"0 mph, None",Rogers Centre,14
716772,Roof Closed,74,"0 mph, None",Globe Life Field,5325
716839,Overcast,72,"10 mph, In From LF",Target Field,3312
716918,Roof Closed,74,"0 mph, None",Globe Life Field,5325
716997,Roof Closed,74,"0 mph, None",Globe Life Field,5325
717069,Clear,66,"13 mph, Varies",Oakland Coliseum,10
717149,Roof Closed,74,"0 mph, None",Globe Life Field,5325
717230,Partly Cloudy,87,"7 mph, Out To LF",Citi Field,3289
717309,Partly Cloudy,74,"1 mph, L To R",Fenway Park,3
717385,Cloudy,79,"7 mph, Out To LF",Citi Field,3289
717423,Sunny,70,"6 mph, L To R",Petco Park,2680
717498,Roof Closed,78,"0 mph, None",Chase Field,15
717565,Partly Cloudy,77,"8 mph, Out To LF",Citi Field,3289
717635,Partly Cloudy,78,"7 mph, Out To CF",Citizens Bank Park,2681
717694,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717779,Clear,77,"11 mph, Out To RF",Citi Field,3289
717934,Sunny,82,"4 mph, Out To LF",Citi Field,3289
718016,Partly Cloudy,63,"9 mph, R To L",Coors Field,19
718099,Partly Cloudy,69,"11 mph, L To R",Citi Field,3289
718186,Sunny,79,"3 mph, In From LF",Nationals Park,3309
718329,Cloudy,52,"14 mph, Out To LF",Comerica Park,2394
718508,Sunny,68,"3 mph, Out To RF",Dodger Stadium,22
718634,Clear,55,"9 mph, Out To LF",Citi Field,3289
718712,Roof Closed,63,"0 mph, None",American Family Field,32
718774,Roof Closed,76,"0 mph, None",loanDepot park,4169
716430,Clear,61,"5 mph, In From RF",Citi Field,3289
716582,Roof Closed,72,"0 mph, None",loanDepot park,4169
716653,Partly Cloudy,73,"5 mph, R To L",Citizens Bank Park,2681
716760,Sunny,84,"6 mph, Out To LF",Nationals Park,3309
716991,Roof Closed,72,"0 mph, None",loanDepot park,4169
717070,Partly Cloudy,81,"8 mph, Varies",Great American Ball Park,2602
717147,Roof Closed,72,"0 mph, None",loanDepot park,4169
717218,Roof Closed,72,"0 mph, None",loanDepot park,4169
717306,Roof Closed,72,"0 mph, None",loanDepot park,4169
716382,Partly Cloudy,62,"15 mph, Out To CF",Oracle Park,2395
716439,Sunny,77,"7 mph, L To R",Dodger Stadium,22
716528,Partly Cloudy,69,"6 mph, Out To RF",Dodger Stadium,22
716608,Clear,73,"5 mph, L To R",Dodger Stadium,22
716695,Roof Closed,72,"0 mph, None",loanDepot park,4169
716768,Clear,78,"4 mph, Out To RF",Dodger Stadium,22
716866,Cloudy,70,"13 mph, Out To LF",Fenway Park,3
716961,Clear,74,"7 mph, L To R",Dodger Stadium,22
717032,Clear,73,"4 mph, Out To RF",Dodger Stadium,22
717171,Clear,78,"6 mph, L To R",Dodger Stadium,22
717240,Partly Cloudy,88,"11 mph, Out To LF",Guaranteed Rate Field,4
717314,Partly Cloudy,82,"7 mph, Out To LF",Target Field,3312
717395,Partly Cloudy,86,"16 mph, R To L",Truist Park,4705
717468,Partly Cloudy,73,"12 mph, L To R",Guaranteed Rate Field,4
717560,Sunny,75,"8 mph, Out To LF",Angel Stadium,1
717629,Sunny,82,"10 mph, L To R",Guaranteed Rate Field,4
717704,Roof Closed,58,"0 mph, Calm",T-Mobile Park,680
717776,Partly Cloudy,65,"7 mph, L To R",Dodger Stadium,22
717848,Cloudy,67,"9 mph, Out To RF",Yankee Stadium,3313
717943,Partly Cloudy,84,"11 mph, Out To RF",Guaranteed Rate Field,4
718021,Clear,71,"9 mph, L To R",Comerica Park,2394
718084,Sunny,75,"4 mph, L To R",Guaranteed Rate Field,4
718147,Partly Cloudy,61,"15 mph, L To R",Guaranteed Rate Field,4
718222,Partly Cloudy,81,"7 mph, R To L",Kauffman Stadium,7
718305,Clear,75,"8 mph, Varies",Great American Ball Park,2602
718373,Cloudy,56,"13 mph, Out To CF",Guaranteed Rate Field,4
718444,Roof Closed,68,"0 mph, None",Rogers Centre,14
718525,Sunny,53,"9 mph, Out To CF",Guaranteed Rate Field,4
718616,Clear,78,"11 mph, R To L",Target Field,3312
718687,Sunny,46,"10 mph, Out To LF",Guaranteed Rate Field,4
718764,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716921,Partly Cloudy,95,"5 mph, Out To LF",Busch Stadium,2889
717080,Partly Cloudy,77,"14 mph, Out To RF",Citi Field,3289
717148,Cloudy,81,"3 mph, R To L",Kauffman Stadium,7
717359,Clear,80,"7 mph, Out To LF",Citi Field,3289
717470,Roof Closed,78,"0 mph, None",Chase Field,15
717556,Partly Cloudy,77,"8 mph, Out To LF",Citi Field,3289
717624,Partly Cloudy,88,"5 mph, Out To LF",Citizens Bank Park,2681
717713,Partly Cloudy,78,"9 mph, L To R",Citi Field,3289
717803,Partly Cloudy,81,"8 mph, Out To LF",PNC Park,31
717872,Cloudy,74,"8 mph, R To L",Truist Park,4705
717944,Clear,69,"7 mph, Out To LF",Citi Field,3289
718024,Clear,52,"16 mph, In From CF",Wrigley Field,17
718119,Clear,62,"6 mph, Out To LF",Citi Field,3289
718565,Sunny,58,"6 mph, Out To RF",Oakland Coliseum,10
718647,Sunny,49,"6 mph, In From CF",Citi Field,3289
718731,Roof Closed,65,"0 mph, None",American Family Field,32
716381,Overcast,65,"8 mph, Out To CF",Oracle Park,2395
716456,Clear,72,"6 mph, L To R",Dodger Stadium,22
716552,Clear,72,"6 mph, L To R",T-Mobile Park,680
716710,Roof Closed,72,"0 mph, None",loanDepot park,4169
716792,Clear,83,"4 mph, L To R",Dodger Stadium,22
716962,Clear,78,"7 mph, L To R",Dodger Stadium,22
717045,Partly Cloudy,74,"7 mph, L To R",Dodger Stadium,22
717594,Partly Cloudy,90,"2 mph, R To L",Coors Field,19
717678,Clear,72,"7 mph, Out To CF",Angel Stadium,1
717760,Overcast,65,"5 mph, L To R",Dodger Stadium,22
717844,Sunny,71,"9 mph, Varies",Great American Ball Park,2602
717917,Clear,67,"9 mph, Out To RF",Dodger Stadium,22
718002,Dome,72,"0 mph, None",Tropicana Field,12
718083,Sunny,75,"11 mph, In From RF",Busch Stadium,2889
718141,Clear,63,"7 mph, L To R",Dodger Stadium,22
718228,Partly Cloudy,71,"7 mph, In From LF",American Family Field,32
718295,Clear,63,"9 mph, L To R",Petco Park,2680
718369,Clear,66,"7 mph, Out To RF",Dodger Stadium,22
718451,Cloudy,42,"4 mph, Out To RF",Wrigley Field,17
718516,Partly Cloudy,59,"2 mph, L To R",Dodger Stadium,22
718612,Clear,55,"19 mph, Out To RF",Oracle Park,2395
718671,Clear,77,"9 mph, L To R",Chase Field,15
718749,Clear,64,"7 mph, Out To CF",Dodger Stadium,22
716408,Roof Closed,70,"0 mph, None",American Family Field,32
716491,Partly Cloudy,77,"7 mph, In From RF",Busch Stadium,2889
716578,Clear,68,"5 mph, In From RF",American Family Field,32
716659,Cloudy,76,"6 mph, R To L",Yankee Stadium,3313
716736,Sunny,89,"7 mph, R To L",American Family Field,32
716810,Clear,73,"8 mph, R To L",Wrigley Field,17
716894,Clear,76,"10 mph, In From RF",American Family Field,32
717078,Partly Cloudy,82,"7 mph, L To R",American Family Field,32
717162,Partly Cloudy,81,"2 mph, In From RF",Nationals Park,3309
717427,Partly Cloudy,75,"9 mph, In From LF",American Family Field,32
717503,Partly Cloudy,86,"7 mph, L To R",American Family Field,32
717581,Overcast,78,"6 mph, Out To RF",Citi Field,3289
717648,Cloudy,68,"5 mph, In From RF",Progressive Field,5
717720,Sunny,77,"7 mph, L To R",American Family Field,32
718313,Cloudy,70,"15 mph, Out To CF",Coors Field,19
718386,Roof Closed,65,"0 mph, None",American Family Field,32
718470,Roof Closed,62,"0 mph, None",American Family Field,32
718549,Overcast,62,"7 mph, L To R",Petco Park,2680
718627,Clear,94,"2 mph, Out To RF",Chase Field,15
716393,Cloudy,63,"5 mph, In From LF",Citi Field,3289
716466,Cloudy,61,"19 mph, In From RF",Citizens Bank Park,2681
716545,Sunny,77,"5 mph, Out To CF",Citi Field,3289
716627,Partly Cloudy,73,"3 mph, In From LF",Citi Field,3289
716715,Partly Cloudy,92,"2 mph, L To R",Nationals Park,3309
716799,Cloudy,76,"6 mph, R To L",Citi Field,3289
717021,Cloudy,79,"9 mph, Out To LF",Citi Field,3289
717107,Cloudy,88,"4 mph, R To L",Oriole Park at Camden Yards,2
717248,Clear,82,"10 mph, R To L",Yankee Stadium,3313
717330,Sunny,85,"3 mph, L To R",Citi Field,3289
716377,Cloudy,68,"6 mph, In From RF",Oriole Park at Camden Yards,2
716450,Overcast,68,"6 mph, R To L",Progressive Field,5
716514,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716604,Partly Cloudy,81,"6 mph, In From LF",Oriole Park at Camden Yards,2
716690,Clear,77,"8 mph, R To L",Angel Stadium,1
716786,Sunny,82,"11 mph, In From LF",Oriole Park at Camden Yards,2
716865,Cloudy,79,"8 mph, Out To LF",Oriole Park at Camden Yards,2
716944,Partly Cloudy,68,"12 mph, Out To RF",Oakland Coliseum,10
717034,Clear,75,"6 mph, In From LF",T-Mobile Park,680
717114,Cloudy,85,"3 mph, Out To RF",Oriole Park at Camden Yards,2
717186,Clear,76,"9 mph, In From LF",Rogers Centre,14
717267,Partly Cloudy,72,"4 mph, Calm",Citizens Bank Park,2681
717328,Dome,72,"0 mph, None",Tropicana Field,12
717401,Cloudy,90,"9 mph, Out To LF",Oriole Park at Camden Yards,2
717428,Sunny,80,"13 mph, Out To LF",Target Field,3312
717508,Partly Cloudy,75,"4 mph, R To L",Yankee Stadium,3313
717589,Partly Cloudy,79,"5 mph, Out To RF",Oriole Park at Camden Yards,2
717651,Overcast,73,"1 mph, Out To LF",Oriole Park at Camden Yards,2
717729,Sunny,69,"6 mph, R To L",Wrigley Field,17
717808,Cloudy,87,"6 mph, Out To LF",Oriole Park at Camden Yards,2
717867,Roof Closed,71,"0 mph, None",American Family Field,32
717967,Partly Cloudy,73,"9 mph, R To L",Oriole Park at Camden Yards,2
718029,Clear,66,"10 mph, L To R",Yankee Stadium,3313
718115,Roof Closed,68,"0 mph, None",Rogers Centre,14
718179,Partly Cloudy,75,"4 mph, L To R",Oriole Park at Camden Yards,2
718259,Partly Cloudy,81,"8 mph, Out To LF",Oriole Park at Camden Yards,2
718405,Clear,58,"7 mph, In From LF",Comerica Park,2394
718472,Overcast,59,"0 mph, Calm",Oriole Park at Camden Yards,2
718570,Partly Cloudy,77,"10 mph, Out To LF",Guaranteed Rate Field,4
718635,Clear,64,"6 mph, Out To LF",Oriole Park at Camden Yards,2
718709,Roof Closed,74,"0 mph, None",Globe Life Field,5325
716632,Clear,65,"12 mph, Varies",Oracle Park,2395
716728,Partly Cloudy,75,"8 mph, L To R",Petco Park,2680
716803,Clear,74,"15 mph, Varies",Oracle Park,2395
716879,Partly Cloudy,82,"4 mph, Out To RF",Citizens Bank Park,2681
716949,Partly Cloudy,83,"8 mph, Out To CF",Truist Park,4705
717029,Clear,67,"16 mph, Out To CF",Oracle Park,2395
717100,Sunny,81,"8 mph, Out To RF",Oakland Coliseum,10
717180,Overcast,60,"16 mph, Out To CF",Oracle Park,2395
717272,Partly Cloudy,67,"15 mph, Out To CF",Oracle Park,2395
717334,Cloudy,85,"7 mph, Varies",Great American Ball Park,2602
717398,Overcast,86,"7 mph, Out To LF",PNC Park,31
717490,Partly Cloudy,62,"12 mph, Varies",Oracle Park,2395
717781,Clear,80,"12 mph, Out To RF",Busch Stadium,2889
717846,Partly Cloudy,75,"3 mph, Out To LF",Coors Field,19
717916,Partly Cloudy,62,"15 mph, Out To CF",Oracle Park,2395
717986,Sunny,74,"5 mph, In From LF",American Family Field,32
718054,Clear,83,"4 mph, Out To LF",Target Field,3312
718156,Clear,64,"15 mph, Out To CF",Oracle Park,2395
718215,Clear,88,"4 mph, Out To RF",Chase Field,15
718287,Cloudy,59,"16 mph, Out To CF",Oracle Park,2395
718368,Sunny,80,"5 mph, In From CF",Estadio Alfredo Harp Helu,5340
718446,Partly Cloudy,58,"15 mph, Out To CF",Oracle Park,2395
718511,Roof Closed,72,"0 mph, None",loanDepot park,4169
718680,Cloudy,57,"12 mph, R To L",Oracle Park,2395
718762,Sunny,68,"16 mph, Out To LF",Yankee Stadium,3313
716438,Sunny,72,"3 mph, R To L",Coors Field,19
716500,Partly Cloudy,72,"7 mph, L To R",Petco Park,2680
716571,Partly Cloudy,63,"2 mph, Out To CF",Coors Field,19
716663,Partly Cloudy,67,"14 mph, Out To CF",Oracle Park,2395
716730,Partly Cloudy,86,"7 mph, Out To LF",Coors Field,19
717378,Sunny,86,"5 mph, In From CF",Coors Field,19
717489,Roof Closed,72,"0 mph, None",Minute Maid Park,2392
717572,Partly Cloudy,68,"4 mph, Out To LF",Coors Field,19
717788,Partly Cloudy,69,"3 mph, In From CF",Fenway Park,3
717923,Partly Cloudy,84,"6 mph, R To L",Kauffman Stadium,7
718069,Cloudy,75,"1 mph, Calm",Coors Field,19
718145,Cloudy,73,"10 mph, In From LF",Coors Field,19
716857,Partly Cloudy,75,"2 mph, L To R",American Family Field,32
716931,Overcast,72,"7 mph, L To R",Petco Park,2680
716996,Partly Cloudy,69,"8 mph, L To R",Petco Park,2680
717055,Partly Cloudy,75,"5 mph, Out To RF",T-Mobile Park,680
717129,Clear,72,"8 mph, L To R",Petco Park,2680
717209,Clear,74,"7 mph, L To R",Petco Park,2680
717276,Clear,72,"8 mph, L To R",Petco Park,2680
717338,Roof Closed,68,"0 mph, None",Rogers Centre,14
717418,Partly Cloudy,87,"8 mph, Out To RF",Citizens Bank Park,2681
717674,Clear,59,"18 mph, Varies",Oracle Park,2395
717732,Partly Cloudy,68,"9 mph, L To R",Petco Park,2680
717830,Cloudy,70,"1 mph, R To L",Coors Field,19
717903,Partly Cloudy,65,"9 mph, L To R",Petco Park,2680
718064,Partly Cloudy,70,"2 mph, R To L",Nationals Park,3309
718140,Cloudy,62,"7 mph, L To R",Petco Park,2680
718216,Partly Cloudy,71,"7 mph, R To L",Target Field,3312
718456,Roof Closed,76,"0 mph, None",Chase Field,15
718717,Sunny,57,"13 mph, L To R",Petco Park,2680
718512,Sunny,78,"16 mph, In From RF",Busch Stadium,2889
718584,Roof Closed,72,"0 mph, None",loanDepot park,4169
716471,Drizzle,59,"17 mph, Out To RF",Yankee Stadium,3313
716499,Roof Closed,78,"0 mph, None",Chase Field,15
716588,Sunny,78,"9 mph, In From LF",Citi Field,3289
716660,Partly Cloudy,70,"4 mph, L To R",Wrigley Field,17
716721,Roof Closed,78,"0 mph, None",Chase Field,15
716868,Roof Closed,77,"0 mph, None",Chase Field,15
716919,Overcast,71,"7 mph, L To R",Petco Park,2680
716998,Clear,79,"5 mph, In From CF",Coors Field,19
717057,Roof Closed,78,"0 mph, None",Chase Field,15
717128,Overcast,83,"6 mph, In From CF",Target Field,3312
717193,Roof Closed,78,"0 mph, None",Chase Field,15
717259,Roof Closed,78,"0 mph, None",Chase Field,15
717639,Cloudy,62,"14 mph, Out To CF",Oracle Park,2395
717696,Clear,79,"1 mph, Calm",American Family Field,32
717757,Roof Closed,78,"0 mph, None",Chase Field,15
717834,Cloudy,76,"0 mph, Calm",Comerica Park,2394
