season,pid,name,wk,y,x_month,level
1985,111153,Wade Boggs,198516,0.6,0.34285714285714286,0.5084745762711864
1985,111153,Wade Boggs,198517,0.5277777777777778,0.6,0.5393258426966292
1985,111153,Wade Boggs,198518,0.4583333333333333,0.5277777777777778,0.536
1985,111153,Wade Boggs,198519,0.2608695652173913,0.4583333333333333,0.5234899328859061
1985,111153,Wade Boggs,198520,0.5,0.2608695652173913,0.4883720930232558
1985,111153,Wade Boggs,198521,0.9655172413793104,0.5,0.4898989898989899
1985,111153,Wade Boggs,198522,0.4166666666666667,0.9655172413793104,0.5506607929515418
1985,111153,Wade Boggs,198523,1.0,0.4166666666666667,0.5378486055776892
1985,111153,Wade Boggs,198524,0.8333333333333334,1.0,0.5871886120996441
1985,111153,Wade Boggs,198525,0.7777777777777778,0.8333333333333334,0.6109324758842444
1985,111153,Wade Boggs,198526,0.8125,0.7777777777777778,0.6242603550295858
1985,111153,Wade Boggs,198527,0.7714285714285715,0.8125,0.6405405405405405
1985,111153,Wade Boggs,198528,0.7647058823529411,0.7714285714285715,0.6518518518518519
1985,111153,Wade Boggs,198529,0.48148148148148145,0.7647058823529411,0.6563981042654028
1985,111153,Wade Boggs,198530,0.9090909090909091,0.48148148148148145,0.6458797327394209
1985,111153,Wade Boggs,198531,0.8333333333333334,0.9090909090909091,0.6639004149377593
1985,111153,Wade Boggs,198532,0.7,0.8333333333333334,0.6719367588932806
1985,111153,Wade Boggs,198533,0.92,0.7,0.6735074626865671
1985,111153,Wade Boggs,198534,0.775,0.92,0.6844919786096256
1985,111153,Wade Boggs,198535,0.9117647058823529,0.775,0.6905158069883528
1985,111153,Wade Boggs,198536,0.8181818181818182,0.9117647058823529,0.7023622047244095
1985,111153,Wade Boggs,198537,0.8928571428571429,0.8181818181818182,0.7080838323353293
1985,111153,Wade Boggs,198538,0.5806451612903226,0.8928571428571429,0.7155172413793104
1985,111153,Wade Boggs,198539,0.7096774193548387,0.5806451612903226,0.7097661623108665
1985,113936,Dwight Evans,198516,0.4666666666666667,0.35294117647058826,0.6551724137931034
1985,113936,Dwight Evans,198517,0.29411764705882354,0.4666666666666667,0.5909090909090909
1985,113936,Dwight Evans,198518,0.75,0.29411764705882354,0.5081967213114754
1985,113936,Dwight Evans,198519,0.18181818181818182,0.75,0.547945205479452
1985,113936,Dwight Evans,198520,0.65625,0.18181818181818182,0.5
1985,113936,Dwight Evans,198521,0.20833333333333334,0.65625,0.525
1985,113936,Dwight Evans,198522,1.0555555555555556,0.20833333333333334,0.49107142857142855
1985,113936,Dwight Evans,198523,0.5,1.0555555555555556,0.5330578512396694
1985,113936,Dwight Evans,198524,0.8928571428571429,0.5,0.5296296296296297
1985,113936,Dwight Evans,198525,0.5416666666666666,0.8928571428571429,0.5637583892617449
1985,113936,Dwight Evans,198526,0.3235294117647059,0.5416666666666666,0.562111801242236
1985,113936,Dwight Evans,198527,0.4166666666666667,0.3235294117647059,0.5393258426966292
1985,113936,Dwight Evans,198528,1.0,0.4166666666666667,0.5280612244897959
1985,113936,Dwight Evans,198529,0.625,1.0,0.5487804878048781
1985,113936,Dwight Evans,198530,0.5,0.625,0.5542986425339367
1985,113936,Dwight Evans,198531,0.5416666666666666,0.5,0.5515021459227468
1985,113936,Dwight Evans,198532,0.7777777777777778,0.5416666666666666,0.5510204081632653
1985,113936,Dwight Evans,198533,0.6923076923076923,0.7777777777777778,0.562862669245648
1985,113936,Dwight Evans,198534,0.9523809523809523,0.6923076923076923,0.569060773480663
1985,113936,Dwight Evans,198535,1.0588235294117647,0.9523809523809523,0.5965811965811966
1985,113936,Dwight Evans,198536,0.9428571428571428,1.0588235294117647,0.6219709208400647
1985,113936,Dwight Evans,198537,0.9655172413793104,0.9428571428571428,0.6391437308868502
1985,113936,Dwight Evans,198538,0.5757575757575758,0.9655172413793104,0.6530014641288433
1985,113936,Dwight Evans,198539,0.8571428571428571,0.5757575757575758,0.6494413407821229
