date,section,metric,segment,value,status,note
2026-07-10,forward_accuracy,window_7d,all,7.0,INFO,anchor=2026-07-03 fwd_days=7
2026-07-10,forward_accuracy,rh3_spearman_rate_7d,all,0.1286,INFO,anchor=2026-07-03 fwd_days=7 n=236 pa_floor=15 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rh3_spearman_total_7d,all,0.2485,INFO,n=236 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rh3_vs_prior_delta_7d,all,0.0464,INFO,n=236 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-10,forward_accuracy,rh3_bias_7d,T1_low,-0.0378,INFO,n=79 MAE=0.222
2026-07-10,forward_accuracy,rh3_bias_7d,T2_mid,-0.0013,INFO,n=78 MAE=0.298
2026-07-10,forward_accuracy,rh3_bias_7d,T3_high,0.0172,INFO,n=79 MAE=0.259
2026-07-10,forward_accuracy,rh3_spearman_rate_7d,C,0.1966,INFO,n=25 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rh3_spearman_rate_7d,non_C,0.1207,INFO,n=197 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rp3_spearman_rate_7d,all,0.0845,INSUFFICIENT,anchor=2026-07-03 fwd_days=7 n=26 start_floor=2 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rp3_spearman_total_7d,all,0.0845,INFO,n=26 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rp3_spearman_rate_7d,data_driven,0.0766,INFO,n=25 (tag backfilled from latest snapshot — approx for old anchors)
2026-07-10,forward_accuracy,rp3_spearman_rate_7d,marcel_il,,INSUFFICIENT,n=1 (tag backfilled from latest snapshot — approx for old anchors)
2026-07-10,forward_accuracy,rprs2_spearman_total_7d,all,0.221,INFO,anchor=2026-07-03 fwd_days=7 n=100 app_floor=3 proj=RoS-total (rank-only; incl sv/hld)
2026-07-10,forward_accuracy,rprs2_spearman_rate_7d,all,0.2134,INFO,n=100 vs fwd fp/appearance
2026-07-10,forward_accuracy,window_14d,all,14.0,INFO,anchor=2026-06-26 fwd_days=14
2026-07-10,forward_accuracy,rh3_spearman_rate_14d,all,0.156,INFO,anchor=2026-06-26 fwd_days=14 n=311 pa_floor=17 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rh3_spearman_total_14d,all,0.3773,INFO,n=311 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rh3_vs_prior_delta_14d,all,0.0167,INFO,n=311 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-10,forward_accuracy,rh3_bias_14d,T1_low,-0.0581,INFO,n=104 MAE=0.233
2026-07-10,forward_accuracy,rh3_bias_14d,T2_mid,-0.0076,INFO,n=103 MAE=0.219
2026-07-10,forward_accuracy,rh3_bias_14d,T3_high,0.0306,INFO,n=104 MAE=0.212
2026-07-10,forward_accuracy,rh3_spearman_rate_14d,C,-0.007,INFO,n=43 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rh3_spearman_rate_14d,non_C,0.1571,INFO,n=246 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rp3_spearman_rate_14d,all,0.3027,INFO,anchor=2026-06-26 fwd_days=14 n=140 start_floor=2 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rp3_spearman_total_14d,all,0.2765,INFO,n=140 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rp3_vs_prior_delta_14d,all,0.0191,INFO,n=140 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-10,forward_accuracy,rp3_bias_14d,T1_low,-0.056,INFO,n=47 MAE=4.383
2026-07-10,forward_accuracy,rp3_bias_14d,T2_mid,-0.5557,INFO,n=46 MAE=6.792
2026-07-10,forward_accuracy,rp3_bias_14d,T3_high,-0.8318,INFO,n=47 MAE=5.123
2026-07-10,forward_accuracy,rp3_spearman_rate_14d,data_driven,0.2969,INFO,n=135 (tag backfilled from latest snapshot — approx for old anchors)
2026-07-10,forward_accuracy,rp3_spearman_rate_14d,marcel_il,,INSUFFICIENT,n=5 (tag backfilled from latest snapshot — approx for old anchors)
2026-07-10,forward_accuracy,rprs2_spearman_total_14d,all,0.2534,INFO,anchor=2026-06-26 fwd_days=14 n=183 app_floor=3 proj=RoS-total (rank-only; incl sv/hld)
2026-07-10,forward_accuracy,rprs2_spearman_rate_14d,all,0.2548,INFO,n=183 vs fwd fp/appearance
2026-07-10,forward_accuracy,window_21d,all,21.0,INFO,anchor=2026-06-19 fwd_days=21
2026-07-10,forward_accuracy,rh3_spearman_rate_21d,all,0.2073,INFO,anchor=2026-06-19 fwd_days=21 n=311 pa_floor=25 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rh3_spearman_total_21d,all,0.4026,INFO,n=311 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rh3_vs_prior_delta_21d,all,0.0583,INFO,n=311 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-10,forward_accuracy,rh3_bias_21d,T1_low,-0.0388,INFO,n=104 MAE=0.196
2026-07-10,forward_accuracy,rh3_bias_21d,T2_mid,-0.0187,INFO,n=103 MAE=0.170
2026-07-10,forward_accuracy,rh3_bias_21d,T3_high,0.0219,INFO,n=104 MAE=0.155
2026-07-10,forward_accuracy,rh3_spearman_rate_21d,C,0.0257,INFO,n=41 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rh3_spearman_rate_21d,non_C,0.2299,INFO,n=254 (position backfilled from latest snapshot)
2026-07-10,forward_accuracy,rp3_spearman_rate_21d,all,0.3317,INFO,anchor=2026-06-19 fwd_days=21 n=68 start_floor=4 (survivorship: conditional on volume)
2026-07-10,forward_accuracy,rp3_spearman_total_21d,all,0.3317,INFO,n=68 rate-model vs fwd TOTAL fp
2026-07-10,forward_accuracy,rp3_vs_prior_delta_21d,all,0.0699,INFO,n=68 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-10,forward_accuracy,rp3_bias_21d,T1_low,0.1432,INFO,n=23 MAE=4.654
2026-07-10,forward_accuracy,rp3_bias_21d,T2_mid,-1.5513,INFO,n=22 MAE=3.903
