owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets
MINE,Corbin Carroll,Ari,,RF|OF|UTIL|BE|IL,2.33,9.0,add,109.0,id·vol,3.59,,,134.0,43.0,OF|UTIL
MINE,Elly De La Cruz,Cin,,SS|2B/SS|IF|UTIL|BE|IL,2.07,44.0,hold,83.0,id·vol,3.87,,,127.0,41.0,2B/SS|UTIL
MINE,Michael Harris II,Atl,,CF|OF|UTIL|BE|IL,2.19,22.0,add,92.0,id·vol,3.46,,,121.0,39.0,OF|UTIL
MINE,Luis Arraez,SF,,1B|1B/3B|IF|DH|UTIL|BE|IL|2B|2B/SS,2.02,50.0,hold,95.0,id·vol,3.64,,,117.0,38.0,1B/3B|2B/SS|UTIL
FA,Jackson Merrill,SD,76.1,CF|OF|UTIL|BE|IL,2.05,46.0,hold,95.0,id·vol,3.58,,,117.0,38.0,OF|UTIL
MINE,Pete Alonso,Bal,,1B|1B/3B|IF|UTIL|BE|IL,2.1,37.0,hold,103.0,id·vol,3.47,,,116.0,37.0,1B/3B|UTIL
MINE,Vladimir Guerrero Jr.,Tor,,1B|1B/3B|IF|DH|UTIL|BE|IL,2.1,38.0,hold,95.0,id·vol,3.34,,,111.0,36.0,1B/3B|UTIL
MINE,Bo Bichette,NYM,,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.97,71.0,hold,95.0,id·vol,3.39,,,107.0,34.0,1B/3B|2B/SS|UTIL
MINE,Hunter Goodman,Col,,C|DH|UTIL|BE|IL,2.08,42.0,hold,90.0,id·vol,3.19,,,106.0,34.0,C|UTIL
MINE,Jordan Walker,StL,,RF|OF|UTIL|BE|IL,1.91,88.0,hold,89.0,id·vol,3.43,,,104.0,34.0,OF|UTIL
FA,Trent Grisham,NYY,27.6,CF|OF|UTIL|BE|IL,2.02,55.0,hold,72.0,id·vol,3.08,,,99.0,32.0,OF|UTIL
FA,Julio Rodriguez,FA,0.1,C|UTIL|BE|IL,2.27,13.0,add,100.0,name·vol,2.74,,,99.0,32.0,C|UTIL
FA,Colson Montgomery,ChW,41.4,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.89,96.0,hold,85.0,id·vol,3.26,,,98.0,32.0,1B/3B|2B/SS|UTIL
FA,Bryson Stott,Phi,40.0,2B|2B/SS|IF|UTIL|BE|IL,2.01,60.0,hold,82.0,id·vol,3.03,,,97.0,31.0,2B/SS|UTIL
MINE,Luis Garcia Jr.,Wsh,,2B|2B/SS|IF|UTIL|BE|IL|1B|1B/3B,2.25,14.0,hold,82.0,id·vol,2.71,,,97.0,31.0,1B/3B|2B/SS|UTIL
MINE,Wyatt Langford,Tex,,LF|CF|OF|UTIL|BE|IL,2.03,48.0,hold,47.0,id·vol,2.97,,,96.0,31.0,OF|UTIL
FA,Caleb Durbin,Bos,35.4,3B|1B/3B|IF|UTIL|BE|IL,1.99,61.0,hold,75.0,id·vol,2.99,,,95.0,31.0,1B/3B|UTIL
FA,Alec Bohm,Phi,17.2,3B|1B/3B|IF|UTIL|BE|IL,1.86,114.0,hold,82.0,id·vol,3.2,,,95.0,31.0,1B/3B|UTIL
