mlbam,xwoba_window,woba_window,luck_gap,pa_window,pa_current_in_window,pa_prior_in_window,window_from,window_to,xwoba_current,woba_current,pa_current,xwoba_prior,woba_prior,days_since_last_pa,window_full,k,name,pos,tm,own,inj,owner,is_mine,asof_date,window_pa_target,rank_full_window
665742,0.4354058577777778,0.4191111111111111,-0.016294746666666693,225,225,0,2026-05-16,2026-07-24,0.4212122672413793,0.40014367816091956,348,0.4289749940556518,0.4035714285714286,24,True,"('juansoto', 'NYM')",Juan Soto,RF,NYM,,TEN_DAY_DL,Treasure Island Mashers,False,2026-08-17,225,1.0
592450,0.4330425333333333,0.4022222222222222,-0.03082031111111111,225,225,0,2026-04-04,2026-05-31,0.4182041328125,0.39570312500000004,256,0.45961743248252074,0.46666666666666673,78,True,"('aaronjudge', 'NYY')",Aaron Judge,RF,NYY,,SIXTY_DAY_DL,New York Ligers,True,2026-08-17,225,2.0
670541,0.41475169777777776,0.4164444444444444,0.0016927466666666335,225,225,0,2026-06-12,2026-08-16,0.46118128626692456,0.44245647969052226,517,0.3928899856489451,0.3448453608247423,1,True,"('alvarezyordan', 'HOU')",Yordan Alvarez,DH,Hou,,ACTIVE,Late Night Bettsing,False,2026-08-17,225,3.0
694673,0.41247892682926834,0.4451219512195122,0.03264302439024386,41,41,0,2026-07-12,2026-08-16,0.41247892682926834,0.4451219512195122,41,,,1,False,"('abimelecortiz', 'WSH')",Abimelec Ortiz,1B,Wsh,8.43,ACTIVE,FA,False,2026-08-17,225,
624413,0.41182549777777777,0.404,-0.007825497777777746,225,225,0,2026-06-16,2026-08-17,0.39179945640074215,0.37077922077922076,539,0.3856686700639718,0.3717638691322902,0,True,"('alonsopete', 'BAL')",Pete Alonso,1B,Bal,,ACTIVE,New York Ligers,True,2026-08-17,225,4.0
660271,0.40832805777777775,0.40022222222222226,-0.008105835555555496,225,225,0,2026-06-11,2026-08-17,0.41168696673189825,0.4043052837573386,511,0.4235185791413504,0.4218077474892396,0,True,"('ohtanishohei', 'LAD')",Shohei Ohtani,DH,LAD,,ACTIVE,Frendy's Fantastic Team,False,2026-08-17,225,5.0
695578,0.4015513422222222,0.3864444444444445,-0.015106897777777739,225,225,0,2026-06-08,2026-08-03,0.4198336457142857,0.3954285714285714,525,0.3606025261543233,0.3595870206489676,14,True,"('jameswood', 'WSH')",James Wood,LF,Wsh,,TEN_DAY_DL,Team Solomon,False,2026-08-17,225,6.0
669257,0.39971834567346554,0.3417777777777778,-0.057940567895687745,225,201,24,2025-08-25,2026-06-05,0.3861727611940298,0.32562189054726365,201,0.3728454040613276,0.38650234741784034,73,True,"('smithwill', 'LAD')",Will Smith,C,LAD,,SIXTY_DAY_DL,2015 Draft First Round,False,2026-08-17,225,7.0
677800,0.39078547555555554,0.37222222222222223,-0.018563253333333307,225,225,0,2026-06-18,2026-08-17,0.3596361523809524,0.3519047619047619,525,0.33535049500905545,0.3344282238442822,0,True,"('abreuwilyer', 'BOS')",Wilyer Abreu,RF,Bos,,ACTIVE,Treasure Island Mashers,False,2026-08-17,225,8.0
676475,0.38655296888888885,0.37333333333333335,-0.013219635555555498,225,225,0,2026-06-16,2026-08-17,0.3891013752380953,0.3693333333333333,525,0.34609629629994415,0.35619223659889093,0,True,"('alecburleson', 'STL')",Alec Burleson,LF,StL,,ACTIVE,Late Night Bettsing,False,2026-08-17,225,9.0
